;DAY_DATE;ISIN;TRADING_CURRENCY_CODE;SUM(NUMBER_OF_TRADES);SUM(TURNOVER_CHF)
5930287;2010-05-31;CH0012255151;CHF;1052;21206731.6
2774398;2010-06-01;CH0012255151;CHF;2848;70415359.3
2774399;2010-06-02;CH0012255151;CHF;2813;44798168.5
3662436;2010-06-03;CH0012255151;CHF;3176;57430445.7
2626331;2010-06-04;CH0012255151;CHF;3228;62595010.7
2231262;2010-06-07;CH0012255151;CHF;2405;58741270.3
504322;2010-06-08;CH0012255151;CHF;3161;69629756.5
3662437;2010-06-09;CH0012255151;CHF;2847;53120818.2
3243220;2010-06-10;CH0012255151;CHF;3087;66454711.2
6028735;2010-06-11;CH0012255151;CHF;2785;58013608.0
5239233;2010-06-14;CH0012255151;CHF;2174;34527327.2
2823619;2010-06-15;CH0012255151;CHF;1840;33389348.7
5806281;2010-06-16;CH0012255151;CHF;1945;42872256.6
1120997;2010-06-17;CH0012255151;CHF;1895;32935999.0
4031662;2010-06-18;CH0012255151;CHF;2647;99316685.8
504328;2010-06-21;CH0012255151;CHF;5507;115362978.4
430181;2010-06-22;CH0012255151;CHF;3987;76508398.7
5856214;2010-06-23;CH0012255151;CHF;1847;41291491.0
4597767;2010-06-24;CH0012255151;CHF;2579;45080139.3
5288518;2010-06-25;CH0012255151;CHF;2359;47169444.2
1268943;2010-06-28;CH0012255151;CHF;2394;51464154.5
2897335;2010-06-29;CH0012255151;CHF;4300;92318153.3
454628;2010-06-30;CH0012255151;CHF;3903;82792452.5
6248574;2010-07-01;CH0012255151;CHF;4448;101216406.6
5608858;2010-07-02;CH0012255151;CHF;2728;58694403.0
4474754;2010-07-05;CH0012255151;CHF;1551;27864849.7
1984311;2010-07-06;CH0012255151;CHF;2677;58286508.9
3094853;2010-07-07;CH0012255151;CHF;2746;48552618.1
2799072;2010-07-08;CH0012255151;CHF;2309;41519233.3
2330554;2010-07-09;CH0012255151;CHF;2253;50904983.1
1861418;2010-07-12;CH0012255151;CHF;1862;30053554.7
2305457;2010-07-13;CH0012255151;CHF;2338;44838760.6
3834252;2010-07-14;CH0012255151;CHF;2764;67421420.3
