;DAY_DATE;ISIN;TRADING_CURRENCY_CODE;SUM(NUMBER_OF_TRADES);SUM(TURNOVER_CHF)
5279123;2011-09-28;CH0012255151;CHF;3947;60503629.0
4465367;2011-09-29;CH0012255151;CHF;10009;160108400.4
5057810;2011-09-30;CH0012255151;CHF;16150;220553350.3
5945241;2011-10-03;CH0012255151;CHF;9449;127496157.3
3653086;2011-10-04;CH0012255151;CHF;9627;121754223.0
1852081;2011-10-05;CH0012255151;CHF;7363;117274460.3
1901499;2011-10-06;CH0012255151;CHF;5567;82397878.5
1729050;2011-10-07;CH0012255151;CHF;5434;78690242.4
1210536;2011-10-10;CH0012255151;CHF;3270;61946945.1
864828;2011-10-11;CH0012255151;CHF;4132;56930347.1
4342640;2011-10-12;CH0012255151;CHF;4786;78359182.2
766327;2011-10-13;CH0012255151;CHF;3758;49775063.6
1481950;2011-10-14;CH0012255151;CHF;3401;50966745.8
1555836;2011-10-17;CH0012255151;CHF;3383;59571734.1
3307868;2011-10-18;CH0012255151;CHF;3976;60758477.8
2493597;2011-10-19;CH0012255151;CHF;3325;55722287.8
5229768;2011-10-20;CH0012255151;CHF;3168;48772180.0
3480599;2011-10-21;CH0012255151;CHF;3196;70221470.8
298099;2011-10-24;CH0012255151;CHF;6885;126888655.3
5205220;2011-10-25;CH0012255151;CHF;4927;77594844.9
3628650;2011-10-26;CH0012255151;CHF;4046;69712661.9
593419;2011-10-27;CH0012255151;CHF;6172;112813421.3
1037454;2011-10-28;CH0012255151;CHF;5838;101628514.4
593429;2011-10-31;CH0012255151;CHF;4431;79455378.6
4884969;2011-11-01;CH0012255151;CHF;6125;105413777.7
963414;2011-11-02;CH0012255151;CHF;4307;70211283.3
6044079;2011-11-03;CH0012255151;CHF;5102;94012545.4
4096317;2011-11-04;CH0012255151;CHF;4445;64888894.5
2221839;2011-11-07;CH0012255151;CHF;5159;66778523.2
4860304;2011-11-08;CH0012255151;CHF;3875;79810481.1
6167744;2011-11-09;CH0012255151;CHF;5934;79156149.6
1482029;2011-11-10;CH0012255151;CHF;3261;51024783.2
4022386;2011-11-11;CH0012255151;CHF;3632;55421631.2
2493685;2011-11-14;CH0012255151;CHF;4061;66687329.5
2839189;2011-11-15;CH0012255151;CHF;3529;48550393.2
199717;2011-11-16;CH0012255151;CHF;3376;57654742.9
6118180;2011-11-17;CH0012255151;CHF;3675;52901819.4
5402643;2011-11-18;CH0012255151;CHF;2877;52931238.0
150247;2011-11-21;CH0012255151;CHF;7793;101253465.0
716866;2011-11-22;CH0012255151;CHF;5922;85857006.6
2937570;2011-11-23;CH0012255151;CHF;5587;75024542.3
4489962;2011-11-24;CH0012255151;CHF;3457;49269969.9
51628;2011-11-25;CH0012255151;CHF;3448;48444268.7
4737274;2011-11-28;CH0012255151;CHF;3926;65915397.3
2863550;2011-11-29;CH0012255151;CHF;3766;51551539.9
6093653;2011-11-30;CH0012255151;CHF;7190;115451503.6
3308005;2011-12-01;CH0012255151;CHF;4520;70548888.0
1037557;2011-12-02;CH0012255151;CHF;5112;66822483.0
2395285;2011-12-05;CH0012255151;CHF;3167;37404712.7
2246627;2011-12-06;CH0012255151;CHF;3811;48333798.8
3702451;2011-12-07;CH0012255151;CHF;3820;49649263.6
2542706;2011-12-08;CH0012255151;CHF;3661;55083021.7
3874266;2011-12-09;CH0012255151;CHF;3638;53227866.5
544311;2011-12-12;CH0012255151;CHF;4132;59056670.7
1926205;2011-12-13;CH0012255151;CHF;6993;114347029.4
4121074;2011-12-14;CH0012255151;CHF;5598;80770232.4
914217;2011-12-15;CH0012255151;CHF;4952;82851020.2
4490029;2011-12-16;CH0012255151;CHF;3556;79874771.4
3135050;2011-12-19;CH0012255151;CHF;4274;76972680.0
593581;2011-12-20;CH0012255151;CHF;3848;66951318.4
1580857;2011-12-21;CH0012255151;CHF;4165;73174718.6
1556052;2011-12-22;CH0012255151;CHF;3003;42048635.4
347642;2011-12-23;CH0012255151;CHF;1620;21736201.5
2049362;2011-12-27;CH0012255151;CHF;1032;14503728.1
4441116;2011-12-28;CH0012255151;CHF;3174;41182548.1
5156262;2011-12-29;CH0012255151;CHF;1559;19201378.4
618156;2011-12-30;CH0012255151;CHF;1146;17925601.1
1432456;2012-01-03;CH0012255151;CHF;4164;64773240.2
938969;2012-01-04;CH0012255151;CHF;3861;55611356.7
3948571;2012-01-05;CH0012255151;CHF;3017;44940643.0
2000004;2012-01-06;CH0012255151;CHF;2979;45108064.5
4490086;2012-01-09;CH0012255151;CHF;2807;47082246.9
2592484;2012-01-10;CH0012255151;CHF;6926;122208363.7
519660;2012-01-11;CH0012255151;CHF;4761;80490792.4
2395385;2012-01-12;CH0012255151;CHF;3721;64865298.2
4367406;2012-01-13;CH0012255151;CHF;2968;51873149.7
3874346;2012-01-16;CH0012255151;CHF;2527;39542045.7
4465673;2012-01-17;CH0012255151;CHF;3862;66842595.8
3406823;2012-01-18;CH0012255151;CHF;4660;68841130.7
1284756;2012-01-19;CH0012255151;CHF;3086;50752499.5
6143148;2012-01-20;CH0012255151;CHF;3213;55854542.8
5698564;2012-01-23;CH0012255151;CHF;2453;34400666.4
1087354;2012-01-24;CH0012255151;CHF;2398;38927479.3
5525791;2012-01-25;CH0012255151;CHF;2684;40364322.5
889720;2012-01-26;CH0012255151;CHF;3955;67014136.9
1358627;2012-01-27;CH0012255151;CHF;3366;56893585.2
4465708;2012-01-30;CH0012255151;CHF;3706;63613548.0
3406865;2012-01-31;CH0012255151;CHF;3744;60511245.1
1407963;2012-02-01;CH0012255151;CHF;5061;94010503.0
3332945;2012-02-02;CH0012255151;CHF;4497;77393752.4
5599968;2012-02-03;CH0012255151;CHF;4915;81780189.4
3332960;2012-02-06;CH0012255151;CHF;2691;57670591.8
4490179;2012-02-07;CH0012255151;CHF;10204;211048103.7
5723329;2012-02-08;CH0012255151;CHF;7342;120819862.6
1803204;2012-02-09;CH0012255151;CHF;3998;70252685.2
5205527;2012-02-10;CH0012255151;CHF;4737;74723660.6
2000127;2012-02-13;CH0012255151;CHF;3612;49069450.1
2222191;2012-02-14;CH0012255151;CHF;3807;55477827.2
6217220;2012-02-15;CH0012255151;CHF;4584;82309376.6
2790022;2012-02-16;CH0012255151;CHF;3700;61693372.7
1408018;2012-02-17;CH0012255151;CHF;3209;143637681.9
593756;2012-02-20;CH0012255151;CHF;2644;43801780.5
5501238;2012-02-21;CH0012255151;CHF;3172;55371260.6
692369;2012-02-22;CH0012255151;CHF;2483;40903840.7
939136;2012-02-23;CH0012255151;CHF;2748;45767178.5
3283726;2012-02-24;CH0012255151;CHF;2066;38034309.7
5353568;2012-02-27;CH0012255151;CHF;2143;33563234.9
421374;2012-02-28;CH0012255151;CHF;2299;38173334.1
1803267;2012-02-29;CH0012255151;CHF;4589;79033894.3
2765333;2012-03-01;CH0012255151;CHF;2780;46720609.2
2296416;2012-03-02;CH0012255151;CHF;2739;56201031.7
4194991;2012-03-05;CH0012255151;CHF;3037;38372958.2
6192729;2012-03-06;CH0012255151;CHF;3807;62628126.3
1606007;2012-03-07;CH0012255151;CHF;3666;52088823.0
914481;2012-03-08;CH0012255151;CHF;4789;81945737.9
988384;2012-03-09;CH0012255151;CHF;4310;63004294.2
4096710;2012-03-12;CH0012255151;CHF;2369;39725085.5
2666917;2012-03-13;CH0012255151;CHF;5368;80727792.7
1235617;2012-03-14;CH0012255151;CHF;3128;48743159.8
3579656;2012-03-15;CH0012255151;CHF;3545;61855343.6
1482428;2012-03-16;CH0012255151;CHF;2945;118497971.3
3234270;2012-03-19;CH0012255151;CHF;2444;44112338.9
6118555;2012-03-20;CH0012255151;CHF;4366;72810541.8
1432727;2012-03-21;CH0012255151;CHF;2782;49916471.0
3998010;2012-03-22;CH0012255151;CHF;3761;67138489.6
2542994;2012-03-23;CH0012255151;CHF;3474;55695562.7
6192780;2012-03-26;CH0012255151;CHF;2438;40832599.6
1235663;2012-03-27;CH0012255151;CHF;2833;52664341.9
1531745;2012-03-28;CH0012255151;CHF;3380;50596392.8
939225;2012-03-29;CH0012255151;CHF;4970;88952167.0
4441390;2012-03-30;CH0012255151;CHF;5003;80570425.3
4269077;2012-04-02;CH0012255151;CHF;3625;67070135.9
1630592;2012-04-03;CH0012255151;CHF;3785;66687809.9
4047442;2012-04-04;CH0012255151;CHF;4295;74821850.6
3776602;2012-04-05;CH0012255151;CHF;3418;48902343.7
4836216;2012-04-10;CH0012255151;CHF;3056;44834024.6
2420079;2012-04-11;CH0012255151;CHF;3230;61612840.1
2074439;2012-04-12;CH0012255151;CHF;4898;92700650.6
2271849;2012-04-13;CH0012255151;CHF;4248;75978912.2
6217412;2012-04-16;CH0012255151;CHF;3647;68565126.7
2494115;2012-04-17;CH0012255151;CHF;4773;69981751.8
5575544;2012-04-18;CH0012255151;CHF;4813;88882696.2
4072051;2012-04-19;CH0012255151;CHF;5111;82427224.6
717306;2012-04-20;CH0012255151;CHF;4534;95679943.5
4934508;2012-04-23;CH0012255151;CHF;4045;81818836.6
3333182;2012-04-24;CH0012255151;CHF;4136;82870261.9
3259176;2012-04-25;CH0012255151;CHF;3860;74268506.5
4465995;2012-04-26;CH0012255151;CHF;3144;45566291.1
643258;2012-04-27;CH0012255151;CHF;2598;44828941.9
3160068;2012-04-30;CH0012255151;CHF;2319;44156113.2
126066;2012-05-02;CH0012255151;CHF;3768;68817514.7
2173017;2012-05-03;CH0012255151;CHF;3530;60976460.2
618524;2012-05-04;CH0012255151;CHF;3923;72228030.0
1161427;2012-05-07;CH0012255151;CHF;2603;42549403.7
298681;2012-05-08;CH0012255151;CHF;4015;65259246.8
5230345;2012-05-09;CH0012255151;CHF;4033;56226537.2
5872056;2012-05-10;CH0012255151;CHF;3814;71195872.5
5723592;2012-05-11;CH0012255151;CHF;5782;94475530.4
2617631;2012-05-14;CH0012255151;CHF;7396;107278800.6
1729655;2012-05-15;CH0012255151;CHF;4571;71883829.2
1136939;2012-05-16;CH0012255151;CHF;6726;115255292.5
4022920;2012-05-18;CH0012255151;CHF;6006;121072616.8
2124130;2012-05-21;CH0012255151;CHF;3530;60308715.3
3011845;2012-05-22;CH0012255151;CHF;4468;80697135.2
1013240;2012-05-23;CH0012255151;CHF;5476;109592692.0
6143495;2012-05-24;CH0012255151;CHF;8588;140320853.6
3727569;2012-05-25;CH0012255151;CHF;3570;61256948.0
1630722;2012-05-29;CH0012255151;CHF;5408;89741024.5
1852775;2012-05-30;CH0012255151;CHF;5619;91831977.8
3973511;2012-05-31;CH0012255151;CHF;4368;74871150.8
27412;2012-06-01;CH0012255151;CHF;10134;164199590.0
1457864;2012-06-04;CH0012255151;CHF;3793;50450126.2
200313;2012-06-05;CH0012255151;CHF;3153;42853241.2
3604530;2012-06-06;CH0012255151;CHF;4497;86139412.0
4441562;2012-06-07;CH0012255151;CHF;7242;123355308.1
3850096;2012-06-08;CH0012255151;CHF;3897;68052611.6
6094222;2012-06-11;CH0012255151;CHF;5334;98971425.0
5378636;2012-06-12;CH0012255151;CHF;6363;97060525.7
5797699;2012-06-13;CH0012255151;CHF;4011;68448347.3
4613584;2012-06-14;CH0012255151;CHF;5076;80247370.2
1161542;2012-06-15;CH0012255151;CHF;3805;123260241.7
5477123;2012-06-18;CH0012255151;CHF;4796;85079119.3
1038113;2012-06-19;CH0012255151;CHF;4056;76699804.5
964073;2012-06-20;CH0012255151;CHF;3248;50048050.7
5797719;2012-06-21;CH0012255151;CHF;5202;97323068.5
5699021;2012-06-22;CH0012255151;CHF;3930;79163396.5
2987329;2012-06-25;CH0012255151;CHF;2679;45995358.5
1803584;2012-06-26;CH0012255151;CHF;3149;52231563.2
4836426;2012-06-27;CH0012255151;CHF;3954;72835190.5
2518603;2012-06-28;CH0012255151;CHF;2834;45330568.9
2124241;2012-06-29;CH0012255151;CHF;2812;54666306.7
4343364;2012-07-02;CH0012255151;CHF;2782;51005207.4
6019994;2012-07-03;CH0012255151;CHF;3441;64174090.3
520164;2012-07-04;CH0012255151;CHF;1666;24903450.1
1432971;2012-07-05;CH0012255151;CHF;3699;55853657.2
1655899;2012-07-06;CH0012255151;CHF;3937;72337136.9
3850168;2012-07-09;CH0012255151;CHF;6210;106390381.6
323561;2012-07-10;CH0012255151;CHF;3680;60309248.0
5847545;2012-07-11;CH0012255151;CHF;2875;60159953.9
3209635;2012-07-12;CH0012255151;CHF;6381;118566777.0
4613655;2012-07-13;CH0012255151;CHF;4996;78186532.5
2888739;2012-07-16;CH0012255151;CHF;3955;63265838.1
1926882;2012-07-17;CH0012255151;CHF;4657;83790978.9
3234609;2012-07-18;CH0012255151;CHF;5736;103835815.6
5008910;2012-07-19;CH0012255151;CHF;5234;93963279.3
3776861;2012-07-20;CH0012255151;CHF;2978;63349919.5
840963;2012-07-23;CH0012255151;CHF;3567;57795120.3
2518679;2012-07-24;CH0012255151;CHF;5852;113973467.7
5773171;2012-07-25;CH0012255151;CHF;4156;78380767.5
5403328;2012-07-26;CH0012255151;CHF;5004;90109513.4
2296792;2012-07-27;CH0012255151;CHF;5136;98061488.8
3678545;2012-07-30;CH0012255151;CHF;3254;53738158.3
5279970;2012-07-31;CH0012255151;CHF;4183;68208766.9
3407362;2012-08-02;CH0012255151;CHF;7552;127550042.6
692796;2012-08-03;CH0012255151;CHF;3557;54780861.1
3899781;2012-08-06;CH0012255151;CHF;4693;86624755.8
5230577;2012-08-07;CH0012255151;CHF;3264;55968986.0
323637;2012-08-08;CH0012255151;CHF;2395;40586564.4
4343457;2012-08-09;CH0012255151;CHF;3671;64478123.8
4613748;2012-08-10;CH0012255151;CHF;2002;37995017.9
939594;2012-08-13;CH0012255151;CHF;2521;44833429.5
2494411;2012-08-14;CH0012255151;CHF;3800;67325256.3
5378828;2012-08-15;CH0012255151;CHF;2776;46705626.5
5008986;2012-08-16;CH0012255151;CHF;1871;31063716.2
2741092;2012-08-17;CH0012255151;CHF;2332;46129169.0
3209734;2012-08-20;CH0012255151;CHF;2056;38148202.2
2987471;2012-08-21;CH0012255151;CHF;3392;63688695.5
1680719;2012-08-22;CH0012255151;CHF;3574;69686124.4
2617880;2012-08-23;CH0012255151;CHF;2630;47502163.0
3086287;2012-08-24;CH0012255151;CHF;2971;51737955.8
5206071;2012-08-27;CH0012255151;CHF;1327;23081460.9
1926994;2012-08-28;CH0012255151;CHF;3345;49813966.5
3949236;2012-08-29;CH0012255151;CHF;1822;29809670.1
2667371;2012-08-30;CH0012255151;CHF;3401;62762639.3
4170694;2012-08-31;CH0012255151;CHF;3720;58892311.9
1236074;2012-09-03;CH0012255151;CHF;1946;34609939.9
5921793;2012-09-04;CH0012255151;CHF;2675;46452803.1
200549;2012-09-05;CH0012255151;CHF;3341;50470657.1
4441759;2012-09-06;CH0012255151;CHF;2787;46578102.1
3103;2012-09-07;CH0012255151;CHF;4681;82690464.5
2445206;2012-09-10;CH0012255151;CHF;3665;64923030.1
126433;2012-09-11;CH0012255151;CHF;8415;151641938.6
4343545;2012-09-12;CH0012255151;CHF;4318;73761204.2
1087963;2012-09-13;CH0012255151;CHF;2266;36284135.7
5107924;2012-09-14;CH0012255151;CHF;4722;94603008.5
5452679;2012-09-17;CH0012255151;CHF;2842;53585252.0
2815204;2012-09-18;CH0012255151;CHF;5068;100163367.1
4441799;2012-09-19;CH0012255151;CHF;3137;52982938.1
742669;2012-09-20;CH0012255151;CHF;2599;50666327.6
1951541;2012-09-21;CH0012255151;CHF;3608;90768268.0
3654116;2012-09-24;CH0012255151;CHF;3407;58429519.2
2296939;2012-09-25;CH0012255151;CHF;1791;29281012.8
5378952;2012-09-26;CH0012255151;CHF;3447;67628441.3
1779111;2012-09-27;CH0012255151;CHF;9123;178426834.3
2962979;2012-09-28;CH0012255151;CHF;4171;82153758.9
3333603;2012-10-01;CH0012255151;CHF;4120;80179165.2
3949319;2012-10-02;CH0012255151;CHF;3371;51126945.3
5428124;2012-10-03;CH0012255151;CHF;3037;62470673.3
939745;2012-10-04;CH0012255151;CHF;4600;87224605.1
3160489;2012-10-05;CH0012255151;CHF;4452;87945242.6
4441854;2012-10-08;CH0012255151;CHF;2938;54061341.6
6069914;2012-10-09;CH0012255151;CHF;3183;58732374.6
1927097;2012-10-10;CH0012255151;CHF;3506;61938834.5
5847824;2012-10-11;CH0012255151;CHF;6157;120267560.0
1433265;2012-10-12;CH0012255151;CHF;3627;60263175.5
1705400;2012-10-15;CH0012255151;CHF;3156;55186035.9
5009148;2012-10-16;CH0012255151;CHF;5932;111161492.1
2347080;2012-10-17;CH0012255151;CHF;4040;77510391.3
692995;2012-10-18;CH0012255151;CHF;5245;111893011.6
2074943;2012-10-19;CH0012255151;CHF;2545;56264935.6
2222923;2012-10-22;CH0012255151;CHF;2039;38332784.1
5723991;2012-10-23;CH0012255151;CHF;2697;52812812.8
3234875;2012-10-24;CH0012255151;CHF;2856;48923975.1
5526544;2012-10-25;CH0012255151;CHF;3149;48137662.6
4097338;2012-10-26;CH0012255151;CHF;3315;59734636.1
4762964;2012-10-29;CH0012255151;CHF;2264;37515984.5
1483036;2012-10-30;CH0012255151;CHF;2699;50012280.2
6020318;2012-10-31;CH0012255151;CHF;2875;48868159.3
27848;2012-11-01;CH0012255151;CHF;6722;137301292.5
5157117;2012-11-02;CH0012255151;CHF;6390;149324119.4
4589630;2012-11-05;CH0012255151;CHF;3266;55164781.5
3728009;2012-11-06;CH0012255151;CHF;2617;42864060.9
4910652;2012-11-07;CH0012255151;CHF;3448;59310209.1
3481656;2012-11-08;CH0012255151;CHF;3288;75527623.9
4688585;2012-11-09;CH0012255151;CHF;4274;71570782.0
668586;2012-11-12;CH0012255151;CHF;5992;113208093.8
792296;2012-11-13;CH0012255151;CHF;2831;47721192.0
915172;2012-11-14;CH0012255151;CHF;2220;39905123.2
5058932;2012-11-15;CH0012255151;CHF;2223;40771252.6
151297;2012-11-16;CH0012255151;CHF;3094;59780867.2
2766064;2012-11-19;CH0012255151;CHF;3406;76214882.3
2815384;2012-11-20;CH0012255151;CHF;5214;106483890.0
3037367;2012-11-21;CH0012255151;CHF;3241;64662274.6
3998696;2012-11-22;CH0012255151;CHF;2632;50581416.1
668618;2012-11-23;CH0012255151;CHF;2689;47827399.9
5477547;2012-11-26;CH0012255151;CHF;2740;53136118.0
1803972;2012-11-27;CH0012255151;CHF;2984;48234716.7
1705499;2012-11-28;CH0012255151;CHF;2779;52058492.0
2322157;2012-11-29;CH0012255151;CHF;4615;83479711.1
1384166;2012-11-30;CH0012255151;CHF;4718;98091066.2
4836832;2012-12-03;CH0012255151;CHF;3129;54245306.3
496148;2012-12-04;CH0012255151;CHF;2612;44156648.0
939923;2012-12-05;CH0012255151;CHF;2718;50337683.9
1408826;2012-12-06;CH0012255151;CHF;3720;67863760.3
5946501;2012-12-07;CH0012255151;CHF;3034;53478833.6
3235004;2012-12-10;CH0012255151;CHF;2214;45025934.0
5280331;2012-12-11;CH0012255151;CHF;3466;58850174.6
5255567;2012-12-12;CH0012255151;CHF;3490;64978016.6
5354394;2012-12-13;CH0012255151;CHF;4601;76805914.5
520614;2012-12-14;CH0012255151;CHF;7181;134377268.7
3259823;2012-12-17;CH0012255151;CHF;5142;97725686.4
2247685;2012-12-18;CH0012255151;CHF;4788;92305753.6
1779366;2012-12-19;CH0012255151;CHF;4413;88769772.0
742938;2012-12-20;CH0012255151;CHF;3561;64272512.5
1681078;2012-12-21;CH0012255151;CHF;5412;108432315.7
1507723;2012-12-27;CH0012255151;CHF;2774;43395384.3
348660;2012-12-28;CH0012255151;CHF;1966;29446153.8
1408884;2013-01-03;CH0012255151;CHF;7438;148745949.0
52745;2013-01-04;CH0012255151;CHF;4283;78972204.8
2025667;2013-01-07;CH0012255151;CHF;5164;91448756.6
3629867;2013-01-08;CH0012255151;CHF;4578;80975885.7
1137561;2013-01-09;CH0012255151;CHF;4872;106502236.0
1211747;2013-01-10;CH0012255151;CHF;9145;170353348.7
5132795;2013-01-11;CH0012255151;CHF;5602;94825526.6
3210128;2013-01-14;CH0012255151;CHF;7186;168800565.8
1606808;2013-01-15;CH0012255151;CHF;6200;136500407.0
2445529;2013-01-16;CH0012255151;CHF;3714;82918022.0
3333892;2013-01-17;CH0012255151;CHF;4225;89848888.0
545440;2013-01-18;CH0012255151;CHF;3529;101508242.0
520693;2013-01-21;CH0012255151;CHF;5623;122762487.0
324084;2013-01-22;CH0012255151;CHF;4668;98496452.0
4319238;2013-01-23;CH0012255151;CHF;4133;93342556.4
5132836;2013-01-24;CH0012255151;CHF;4206;101240493.6
4245419;2013-01-25;CH0012255151;CHF;3499;79701433.0
4442150;2013-01-28;CH0012255151;CHF;2457;66740661.0
4023607;2013-01-29;CH0012255151;CHF;2397;47999125.4
6193578;2013-01-30;CH0012255151;CHF;3732;77539660.1
1951878;2013-01-31;CH0012255151;CHF;3416;76439159.2
2815570;2013-02-01;CH0012255151;CHF;4766;103145420.5
6193591;2013-02-04;CH0012255151;CHF;9105;226777090.5
5083887;2013-02-05;CH0012255151;CHF;4991;120530951.0
3210198;2013-02-06;CH0012255151;CHF;5810;125378209.5
3826406;2013-02-07;CH0012255151;CHF;5390;120596108.5
422245;2013-02-08;CH0012255151;CHF;2705;57516125.5
4861585;2013-02-11;CH0012255151;CHF;2459;39523386.5
5848139;2013-02-12;CH0012255151;CHF;1926;48648780.0
2247824;2013-02-13;CH0012255151;CHF;3677;81118868.5
3259987;2013-02-14;CH0012255151;CHF;3811;83408406.5
5823249;2013-02-15;CH0012255151;CHF;4779;131901696.5
520767;2013-02-18;CH0012255151;CHF;2402;48321094.0
1013945;2013-02-19;CH0012255151;CHF;3051;60282283.0
2100087;2013-02-20;CH0012255151;CHF;2848;55856175.5
2938831;2013-02-21;CH0012255151;CHF;4279;87638731.0
1631475;2013-02-22;CH0012255151;CHF;3340;75908713.5
1927524;2013-02-25;CH0012255151;CHF;2606;54063458.0
2470332;2013-02-26;CH0012255151;CHF;3654;72367242.5
3062291;2013-02-27;CH0012255151;CHF;2614;56901225.0
890811;2013-02-28;CH0012255151;CHF;3108;81149730.5
767721;2013-03-01;CH0012255151;CHF;4315;89166430.0
3506817;2013-03-04;CH0012255151;CHF;2735;57208127.0
594823;2013-03-05;CH0012255151;CHF;3828;91591398.0
1878149;2013-03-06;CH0012255151;CHF;5313;136998744.5
940182;2013-03-07;CH0012255151;CHF;3401;72297098.0
3358426;2013-03-08;CH0012255151;CHF;2777;55452505.0
1261021;2013-03-11;CH0012255151;CHF;1964;47685161.0
3086819;2013-03-12;CH0012255151;CHF;2565;54929129.5
3925256;2013-03-13;CH0012255151;CHF;2925;66187433.0
2223324;2013-03-14;CH0012255151;CHF;3472;71933054.0
1458646;2013-03-15;CH0012255151;CHF;3382;119049676.0
1261042;2013-03-18;CH0012255151;CHF;3060;70288027.0
3037700;2013-03-19;CH0012255151;CHF;3950;103166936.5
3777535;2013-03-20;CH0012255151;CHF;3189;82880017.5
126972;2013-03-21;CH0012255151;CHF;4151;103862039.5
767779;2013-03-22;CH0012255151;CHF;2876;67622105.0
3012735;2013-03-25;CH0012255151;CHF;2786;55093953.5
1532676;2013-03-26;CH0012255151;CHF;2772;66100921.5
3752867;2013-03-27;CH0012255151;CHF;3148;81816752.0
4023790;2013-03-28;CH0012255151;CHF;1937;55231576.5
3777565;2013-04-02;CH0012255151;CHF;2601;55669295.5
4171283;2013-04-03;CH0012255151;CHF;2462;62186642.0
5996246;2013-04-04;CH0012255151;CHF;3218;58236528.5
5675129;2013-04-05;CH0012255151;CHF;6025;139845974.0
1532702;2013-04-08;CH0012255151;CHF;3477;73025247.0
4048435;2013-04-09;CH0012255151;CHF;3640;71896119.0
4985098;2013-04-10;CH0012255151;CHF;3565;71452878.0
4220948;2013-04-11;CH0012255151;CHF;3016;67988120.0
5551858;2013-04-12;CH0012255151;CHF;2645;57012791.0
1088592;2013-04-15;CH0012255151;CHF;2866;53835304.5
5922386;2013-04-16;CH0012255151;CHF;3265;66826454.5
940306;2013-04-17;CH0012255151;CHF;3179;72063067.5
1903096;2013-04-18;CH0012255151;CHF;2588;50998038.0
1187250;2013-04-19;CH0012255151;CHF;2742;64480504.5
1038980;2013-04-22;CH0012255151;CHF;3310;65314060.5
4146970;2013-04-23;CH0012255151;CHF;4994;108118528.0
4935525;2013-04-24;CH0012255151;CHF;3170;73670898.0
2692471;2013-04-25;CH0012255151;CHF;3221;61544485.0
5059388;2013-04-26;CH0012255151;CHF;2963;60264344.0
5009656;2013-04-29;CH0012255151;CHF;2576;45665277.0
225916;2013-04-30;CH0012255151;CHF;2593;51449163.0
176466;2013-05-02;CH0012255151;CHF;3069;63162468.0
1137870;2013-05-03;CH0012255151;CHF;2737;59672413.5
5946915;2013-05-06;CH0012255151;CHF;1750;36469481.5
2001328;2013-05-07;CH0012255151;CHF;2724;55784422.5
3949916;2013-05-08;CH0012255151;CHF;2699;56597781.0
3358610;2013-05-10;CH0012255151;CHF;2968;59567459.5
2100329;2013-05-13;CH0012255151;CHF;2235;47671618.0
4714126;2013-05-14;CH0012255151;CHF;3201;72908682.0
644303;2013-05-15;CH0012255151;CHF;5492;126964947.0
5231356;2013-05-16;CH0012255151;CHF;5787;126352785.0
4442475;2013-05-17;CH0012255151;CHF;3480;92198984.5
5034561;2013-05-21;CH0012255151;CHF;4536;99028894.0
3654744;2013-05-22;CH0012255151;CHF;4478;108506728.5
2766605;2013-05-23;CH0012255151;CHF;5368;121295412.0
1409312;2013-05-24;CH0012255151;CHF;2693;57677288.0
3580853;2013-05-27;CH0012255151;CHF;1603;39200984.5
3260314;2013-05-28;CH0012255151;CHF;4099;105596421.5
5873087;2013-05-29;CH0012255151;CHF;4482;94913867.5
1409333;2013-05-30;CH0012255151;CHF;3829;90979534.0
743424;2013-05-31;CH0012255151;CHF;4291;95832564.0
274964;2013-06-03;CH0012255151;CHF;3761;78665828.0
1286141;2013-06-04;CH0012255151;CHF;4081;83099794.0
891096;2013-06-05;CH0012255151;CHF;3955;89104455.0
3334342;2013-06-06;CH0012255151;CHF;3384;64429349.0
422605;2013-06-07;CH0012255151;CHF;3137;74390623.5
1730681;2013-06-10;CH0012255151;CHF;2571;47425559.5
6292737;2013-06-11;CH0012255151;CHF;3303;75735425.5
1755364;2013-06-12;CH0012255151;CHF;2403;48809400.5
398120;2013-06-13;CH0012255151;CHF;5034;108032272.5
5478104;2013-06-14;CH0012255151;CHF;3354;68518333.5
619662;2013-06-17;CH0012255151;CHF;2800;50350376.0
1853857;2013-06-18;CH0012255151;CHF;3388;67402487.0
5724666;2013-06-19;CH0012255151;CHF;2828;58522391.0
4911312;2013-06-20;CH0012255151;CHF;8966;193952491.0
3285066;2013-06-21;CH0012255151;CHF;8180;221833669.4
1532953;2013-06-24;CH0012255151;CHF;9092;201225679.1
299858;2013-06-25;CH0012255151;CHF;6810;133287389.3
3605594;2013-06-26;CH0012255151;CHF;4478;108888479.9
2519627;2013-06-27;CH0012255151;CHF;3635;76521030.0
6119830;2013-06-28;CH0012255151;CHF;4288;107229338.5
2149758;2013-07-01;CH0012255151;CHF;3368;70621539.5
4788289;2013-07-02;CH0012255151;CHF;3435;89505618.0
5823639;2013-07-03;CH0012255151;CHF;3400;83936877.0
1755437;2013-07-04;CH0012255151;CHF;3460;96035303.0
3482352;2013-07-05;CH0012255151;CHF;2734;60140272.5
176696;2013-07-08;CH0012255151;CHF;2402;67989481.5
1360137;2013-07-09;CH0012255151;CHF;2987;77795737.0
5650654;2013-07-10;CH0012255151;CHF;2927;62110311.0
965155;2013-07-11;CH0012255151;CHF;2681;63989672.5
5355002;2013-07-12;CH0012255151;CHF;3859;98653992.5
3777891;2013-07-15;CH0012255151;CHF;2072;49191196.5
2248290;2013-07-16;CH0012255151;CHF;2790;63814466.0
2198753;2013-07-17;CH0012255151;CHF;3305;90534523.5
